class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 27359,98826,9,24,"",2023-11-21 00:00:00.000000
WINTER 2024 27367,98827,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 27375,98828,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 27383,98829,24,24,"",2023-11-21 00:00:00.000000
WINTER 2024 27391,98830,20,24,"",2023-11-21 00:00:00.000000
WINTER 2024 27409,98831,8,18,"",2023-11-21 00:00:00.000000
WINTER 2024 27417,98832,14,18,"",2023-11-21 00:00:00.000000
WINTER 2024 52522,98833,9,18,"",2023-11-21 00:00:00.000000
WINTER 2024 27425,98834,0,0,"",2023-11-21 00:00:00.000000
WINTER 2024 52530,98835,4,18,"",2023-11-21 00:00:00.000000
WINTER 2024 52548,98836,11,18,"",2023-11-21 00:00:00.000000
WINTER 2024 27441,98837,3,20,"",2023-11-21 00:00:00.000000
WINTER 2024 27474,98838,3,20,"",2023-11-21 00:00:00.000000
WINTER 2024 27482,98839,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 27490,98840,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 27508,98841,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 62935,98842,15,15,"",2023-11-21 00:00:00.000000
WINTER 2024 51045,98843,8,15,"",2023-11-21 00:00:00.000000
WINTER 2024 51011,98844,11,20,"",2023-11-21 00:00:00.000000
WINTER 2024 51029,98845,20,18,"",2023-11-21 00:00:00.000000
WINTER 2024 55145,98846,13,15,"",2023-11-21 00:00:00.000000
WINTER 2024 51003,98847,2,20,"",2023-11-21 00:00:00.000000
WINTER 2024 50997,98848,9,16,"",2023-11-21 00:00:00.000000
WINTER 2024 49049,98849,5,5,"",2023-11-21 00:00:00.000000
WINTER 2024 49056,98850,6,5,"",2023-11-21 00:00:00.000000
WINTER 2024 49064,98851,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 49106,98852,13,25,"",2023-11-21 00:00:00.000000
