course_acronym,prerequisite_acronym,is_strong,is_same_major
CHEM 125L,CHEM 142B,false,true
CHEM 142B,CHEM 142A,false,true
CHEM 149,CHEM 1A,false,true
CHEM 149,CHEM 1B,false,true
CHEM 149,CHEM 1C,false,true
CHEM 149,CHEM 2A,false,true
CHEM 149,CHEM 2B,false,true
CHEM 149,CHEM 2C,false,true
CHEM 161,CHEM 142A,false,true
CHEM 161,CHEM 142B,false,true
CHEM 161,CHEM 142C,false,true
CHEM 161,MCDB 108A,false,false
CHEM 161,MCDB 108B,false,false
CHEM 161,MCDB 108C,false,false
CHEM 162B,CHEM 142A,false,true
CHEM 162B,CHEM 142B,false,true
CHEM 162B,CHEM 142C,false,true
CHEM 162B,MCDB 108A,false,false
CHEM 162B,MCDB 108B,false,false
CHEM 162B,MCDB 108C,false,false
CHEM 171,CHEM 173A,false,true
CHEM 173B,CHEM 173A,false,true
CHEM 184,Chemistry and Biochemistry - CHEM 3,false,false
CHEM 193,CHEM 1A,true,true
CHEM 193,CHEM 1B,true,true
CHEM 193,CHEM 1C,true,true
CH ST 117,CH ST 7A,false,true
CH ST 117,CH ST 7B,false,true
CH ST 117,CH ST 9A,false,true
CH ST 117,CH ST 9B,false,true
CH ST 125A,CH ST 1A,false,true
CH ST 125A,CH ST 1B,false,true
CH ST 125A,CH ST 1C,false,true
CH ST 148,CH ST 1A,false,true
CH ST 148,CH ST 1B,false,true
CH ST 148,CH ST 1C,false,true
CH ST 158,CH ST 1A,false,true
CH ST 158,CH ST 1B,false,true
CH ST 158,CH ST 1C,false,true
CH ST 158L,CH ST 158,false,true
CH ST 168I,CH ST 1A,false,true
CH ST 168I,CH ST 1B,false,true
CH ST 168I,CH ST 1C,false,true
CH ST 174A,CH ST 1A,false,true
CH ST 174A,CH ST 1B,false,true
CH ST 174A,CH ST 1C,false,true
CH ST 195B,CH ST 1A,true,true
CH ST 197HB,CH ST 197H,false,true
CHIN 2NH,CHIN 1N,false,true
CHIN 5NH,CHIN 4N,false,true
CHIN 101B,CHIN 101A,false,true
CHIN 122B,CHIN 122A,false,true
CHIN 127B,CHIN 127A,false,true
CHIN 185CQ,HIST 2C,false,false
CHIN 185CQ,HIST 80,false,false
CHIN 185CQ,HIST 184A,false,false
CHIN 185CQ,HIST 184B,false,false
CHIN 185CQ,HIST 185A,false,false
CHIN 185CQ,HIST 185B,false,false
CHIN 185CQ,EACS 4A,false,false
CHIN 185CQ,EACS 4B,false,false
CHIN 185CQ,CHIN 184A,false,true
CHIN 185CQ,CHIN 184B,false,true
CHIN 185CQ,CHIN 185A,false,true
CHIN 185CQ,CHIN 185B,false,true
CHIN 198,Chinese - CHIN 2,false,false
CHIN 199,Chinese - CHIN 2,false,false
CLASS 36H,CLASS 36,false,true
CLASS 198,Classics - CLASS 2,false,false
CLASS 199,Classics - CLASS 2,false,false
CLASS 199RA,Classics - CLASS 2,false,false
COMM 175AD,COMM 138,false,true
C LIT 50B,WRIT 2,false,false
C LIT 102A,SPAN 25,false,false
C LIT 102A,SPAN 16B,false,false
C LIT 170,ART 5,false,false
C LIT 180,WRIT 2,true,false
C LIT 180,WRIT 50,true,false
C LIT 180,WRIT 109A,false,false
C LIT 180,ENGL 10,false,false
C LIT 192A,ED 12,false,false
C LIT 193,LIT 170,false,false
C LIT 199,Comparative Literature - C LIT 2,false,false
CMPSC 5B,CMPSC 5A,false,true
CMPSC 9,CMPSC 8,false,true
CMPSC 9,ENGR 3,false,false
CMPSC 16,MAT 3A,false,false
CMPSC 16,MAT 2A,false,false
CMPSC 24,CMPSC 16,false,true
CMPSC 24,MAT 3B,false,false
CMPSC 24,MAT 2B,false,false
CMPSC 40,CMPSC 16,false,true
CMPSC 64,CMPSC 16,false,true
CMPSC 64,MAT 3C,false,false
CMPSC 64,MAT 4A,false,false
CMPSC 111,MAT 4B,false,false
CMPSC 111,MAT 6A,false,false
CMPSC 111,CMPSC 24,false,true
CMPSC 130A,CMPSC 40,false,true
CMPSC 130A,CMPSC 32,false,true
CMPSC 130A,PSTAT 120A,false,false
CMPSC 130A,ECE 139,false,false
CMPSC 130B,CMPSC 130A,false,true
CMPSC 140,MAT 4B,false,false
CMPSC 140,MAT 6A,false,false
CMPSC 140,CMPSC 130A,false,true
CMPSC 154,CMPSC 32,false,true
CMPSC 154,CMPSC 64,false,true
CMPSC 156,CMPSC 24,true,true
CMPSC 156,CMPSC 32,true,true
CMPSC 162,CMPSC 130A,true,true
CMPSC 162,CMPSC 138,true,true
CMPSC 165A,CMPSC 130A,false,true
CMPSC 165B,CMPSC 130A,false,true
CMPSC 170,CMPSC 130A,false,true
CMPSC 170,CMPSC 154,false,true
CMPSC 170,ECE 154A,false,false
CMPSC 174B,CMPSC 130B,false,true
CMPSC 176B,CMPSC 176A,false,true
CMPSC 189B,CMPSC 189A,false,true
CMPSC 196,MUS 1,false,false
CMPTGCS 1L,CMPSC 1A,false,false
CMPTGCS 1L,CMPSC 1B,false,false
DANCE 47E,DANCE 47C,false,true
DANCE 56E,DANCE 56C,false,true
DANCE 147B,DANCE 47F,false,true
DANCE 147E,DANCE 147D,false,true
DANCE 151B,DANCE 151A,false,true
DANCE 156B,DANCE 56F,false,true
DANCE 156E,DANCE 156C,false,true
DANCE 167A,DANCE 50,false,true
DANCE 167A,DANCE 51,false,true
DANCE 167A,DANCE 151A,false,true
DANCE 186,DANCE 151C,false,true
DANCE 191,DANCE 151C,false,true
DANCE 193HB,DANCE 193H,false,true
DANCE 199,Dance - DANCE 2,false,false
EARTH 103,ART 104A,false,false
EARTH 103,MAT 2B,false,false
EARTH 103,MAT 3B,false,false
EARTH 103,PHYS 6A,false,false
EARTH 103,PHYS 1,false,false
EARTH 104G,ART 2,false,false
EARTH 115,ART 114,false,false
EARTH 121,MCDB 1A,false,false
EARTH 121,MCDB 1B,false,false
EARTH 121,EEMB 2,false,false
EARTH 121,EEMB 3,false,false
EARTH 121,ART 2,false,false
EARTH 121,ART 3,false,false
EARTH 124I,CHEM 1C,false,false
EARTH 124I,MAT 3A,false,false
EARTH 124I,ART 2,false,false
EARTH 124I,ART 3,false,false
EARTH 124I,ART 4,false,false
EARTH 124I,ART 4S,false,false
EARTH 131,MAT 3A,true,false
EARTH 131,MAT 3B,true,false
EARTH 131,MAT 4A,true,false
EARTH 131,MAT 4B,true,false
EARTH 131,MAT 6A,false,false
EARTH 131,PHYS 6A,false,false
EARTH 131,PHYS 6B,false,false
EARTH 131,PHYS 6C,false,false
EARTH 131,PHYS 1,false,false
EARTH 131,PHYS 2,false,false
EARTH 134,MAT 2A,false,false
EARTH 134,MAT 2B,false,false
EARTH 134,MAT 3A,false,false
EARTH 134,MAT 3B,false,false
EARTH 134,MAT 4A,false,false
EARTH 134,MAT 4B,false,false
EARTH 144,MCDB 1A,false,false
EARTH 144,MCDB 1B,false,false
EARTH 144,EEMB 2,false,false
EARTH 144,EEMB 3,false,false
EARTH 144,ART 3,false,false
EARTH 144,ART 30,false,false
EARTH 144,ART 111,false,false
EARTH 173,GEOG 3B,false,false
EARTH 173,GEOG 4,false,false
EARTH 173,ART 2,false,false
EARTH 177,ART 2,false,false
EARTH 177,ART 114,false,false
EARTH 192,ED 2N,false,false
EACS 199,East Asian Cultural Studies - EACS 2,false,false
EEMB 2,MCDB 1A,false,false
EEMB 7,MCDB 6,false,false
EEMB 7,MCDB 1A,false,false
EEMB 111,MCDB 1A,true,false
EEMB 111,MCDB 1B,true,false
EEMB 111,EEMB 2,true,true
EEMB 111,EEMB 3,true,true
EEMB 111H,EEMB 111,false,true
EEMB 127,MCDB 1A,true,false
EEMB 127,MCDB 1B,true,false
EEMB 127,EEMB 2,true,true
EEMB 127,EEMB 3,true,true
EEMB 129,MCDB 1A,true,false
EEMB 129,EEMB 2,true,true
EEMB 129,MCDB 1B,true,false
EEMB 129,EEMB 3,true,true
EEMB 130C,ENV S 100,false,false
EEMB 130C,MCDB 1A,false,false
EEMB 130C,MCDB 1B,false,false
EEMB 130C,EEMB 2,false,true
EEMB 130C,EEMB 3,false,true
EEMB 131,MCDB 1A,false,false
EEMB 131,MCDB 1B,false,false
EEMB 131,EEMB 2,false,true
EEMB 131,EEMB 3,false,true
EEMB 131,ART 2,false,false
EEMB 131,ART 3,false,false
EEMB 138,MCDB 1A,true,false
EEMB 138,MCDB 1B,true,false
EEMB 138,EEMB 2,true,true
EEMB 138,EEMB 3,true,true
EEMB 142B,MCDB 1A,true,false
EEMB 142B,EEMB 2,true,true
EEMB 142B,MCDB 1B,true,false
EEMB 142B,EEMB 3,true,true
EEMB 142BL,EEMB 142B,false,true
EEMB W 146,MAT 2A,false,false
EEMB W 146,MAT 2B,false,false
EEMB W 146,MAT 3A,false,false
EEMB W 146,MAT 3B,false,false
EEMB W 146,MAT 34A,false,false
EEMB W 146,MAT 34B,false,false
EEMB W 146,PSTAT 5A,false,false
EEMB W 146,PSTAT 5L,false,false
EEMB W 146,PSTAT 109,false,false
EEMB W 146,MAT 4A,false,false
EEMB W 146,PSY 5,false,false
EEMB 152,ENV S 100,false,false
EEMB 152,MCDB 1A,false,false
EEMB 152,MCDB 1B,false,false
EEMB 152,EEMB 2,false,true
EEMB 152,EEMB 3,false,true
EEMB 152,MAT 3A,false,false
EEMB 152,MAT 34A,false,false
EEMB 157B,MCDB 1A,true,false
EEMB 157B,MCDB 1B,true,false
EEMB 157B,EEMB 2,true,true
EEMB 157B,EEMB 3,true,true
EEMB 163,MCDB 1A,true,false
EEMB 163,EEMB 2,true,true
EEMB 163,MCDB 1B,true,false
EEMB 163,EEMB 3,true,true
EEMB 168,MCDB 1A,true,false
EEMB 168,MCDB 1B,true,false
EEMB 168,EEMB 2,true,true
EEMB 168,EEMB 3,true,true
EEMB 174,EEMB 146,false,true
EEMB 179,MAT 34A,false,false
EEMB 179,MAT 34B,false,false
EEMB 179,MAT 3A,false,false
EEMB 179,MAT 3B,false,false
EEMB 179,MAT 2A,false,false
EEMB 179,MAT 2B,false,false
EEMB 185,EEMB 142B,false,true
EEMB 185,EEMB 142C,false,true
ECON 2,ECON 1,false,true
ECON 3B,ECON 3A,false,true
ECON 5,MAT 34A,false,false
ECON 5,MAT 34B,false,false
ECON 5,MAT 2A,false,false
ECON 5,MAT 2B,false,false
ECON 5,MAT 3A,false,false
ECON 5,MAT 3B,false,false
ECON 10A,ECON 1,true,true
ECON 10A,ECON 2,true,true
ECON 10A,MAT 34A,false,false
ECON 10A,MAT 34B,false,false
ECON 10A,MAT 2A,false,false
ECON 10A,MAT 2B,false,false
ECON 10A,MAT 3A,false,false
ECON 10A,MAT 3B,false,false
ECON 96,ECON 1,true,true
ECON 96,ECON 2,true,true
ECON 100B,ECON 10A,false,true
ECON 100B,ECON 100A,false,true
ECON 100B,PSTAT 109,false,false
ECON 100B,PSTAT 120A,false,false
ECON 100C,ECON 100B,false,true
ECON 100C,ECON 104B,false,true
ECON 101,ECON 10A,false,true
ECON 101,PSTAT 109,false,false
ECON 101,PSTAT 120A,false,false
ECON 107A,ECON 10A,false,true
ECON 114B,ECON 10A,false,true
ECON 114B,ECON 104A,false,true
ECON 115,ECON 10A,false,true
ECON 115,ECON 100A,false,true
ECON 115,ECON 104A,false,true
ECON 116A,ECON 100B,false,true
ECON 116A,ECON 104B,false,true
ECON 116A,ECON 140A,false,true
ECON 118,ECON 136C,false,true
ECON 118H,ECON 118,false,true
ECON 130,ECON 100B,false,true
ECON 130,ECON 104B,false,true
ECON 130,ECON 101,false,true
ECON 130,ECON 105,false,true
ECON 132A,ECON 136B,false,true
ECON 132AH,ECON 132A,false,true
ECON 134C,ECON 134A,false,true
ECON 135,ECON 100B,true,true
ECON 135,ECON 101,true,true
ECON 136A,ECON 3B,false,true
ECON 136A,ECON 10A,false,true
ECON 136A,PSTAT 109,false,false
ECON 136A,PSTAT 120A,false,false
ECON 136AH,ECON 136A,false,true
ECON 136B,ECON 136A,false,true
ECON 136C,ECON 136A,false,true
ECON 136C,ECON 136B,false,true
ECON 137A,ECON 3B,false,true
ECON 137A,ECON 10A,false,true
ECON 137A,PSTAT 109,false,false
ECON 137A,PSTAT 120A,false,false
ECON 137AH,ECON 137A,false,true
ECON 138A,ECON 3B,false,true
ECON 138A,ECON 10A,false,true
ECON 138A,ECON 100A,false,true
ECON 138A,PSTAT 109,false,false
ECON 138A,PSTAT 120A,false,false
ECON 139,ECON 136A,false,true
ECON 139,ECON 136B,false,true
ECON 140B,ECON 140A,false,true
ECON 152,ECON 100B,false,true
ECON 171,ECON 100B,false,true
ECON 174,ECON 100B,false,true
ECON 174,ECON 104B,false,true
ECON 174,ECON 140A,false,true
ECON 176,ECON 100B,true,true
ECON 176,ECON 140A,true,true
ECON 181,ECON 100B,false,true
ECON 181,ECON 104B,false,true
ECON 181,ECON 101,false,true
ECON 181,ECON 105,false,true
ECON 189,ECON 3B,false,true
ECON 189,ECON 10A,false,true
ECON 189,ECON 100A,false,true
ECON 189,ECON 104A,false,true
ECON 189,PSTAT 109,false,false
ECON 189,PSTAT 120A,false,false
ECON 189H,ECON 189,false,true
ECON 196B,ECON 196A,true,true
ECON 196B,ECON 140B,true,true
ECON 199,Economics - ECON 2,false,false
ECON 199RA,Economics - ECON 2,false,false
ED 134,MAT 8,false,false
ED 199,Education - ED 2,false,false
ED 199RA,Education - ED 2,false,false
ECE 10A,MAT 2A,false,false
