id,enrollment_code,class_id,days,time,location
WINTER 2022 43620,43620,WINTER 2022 43604,1010000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",SSMS 1302
WINTER 2022 43638,43638,WINTER 2022 43604,0010100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",PHELP1529
WINTER 2022 43646,43646,WINTER 2022 43604,0101000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",PSY-E1805
WINTER 2022 43653,43653,WINTER 2022 43604,0101000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",PHELP1525
WINTER 2022 43661,43661,WINTER 2022 43604,0101000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",PHELP1526
WINTER 2022 43679,43679,WINTER 2022 43604,0010100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",SSMS 1301
WINTER 2022 43687,43687,WINTER 2022 43604,0101000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",PHELP1529
WINTER 2022 43695,43695,WINTER 2022 43604,0010100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SSMS 1301
WINTER 2022 43703,43703,WINTER 2022 43604,0101000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",SSMS 1007
WINTER 2022 57802,57802,WINTER 2022 43604,0101000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",PHELP1526
WINTER 2022 62661,62661,WINTER 2022 62661,0100000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",SSMS 1303
WINTER 2022 63933,63933,WINTER 2022 62661,0100000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",SSMS 1302
WINTER 2022 63925,63925,WINTER 2022 62661,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SSMS 1303
WINTER 2022 43737,43737,WINTER 2022 43737,0100000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",ELLSN2626
WINTER 2022 43745,43745,WINTER 2022 43737,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ELLSN2626
WINTER 2022 43752,43752,WINTER 2022 43737,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",GIRV 2116
WINTER 2022 43760,43760,WINTER 2022 43737,0001000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",ELLSN2626
WINTER 2022 43943,43943,WINTER 2022 43943,0100000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",SSMS 1302
WINTER 2022 43950,43950,WINTER 2022 43943,0100000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",SSMS 1303
WINTER 2022 43968,43968,WINTER 2022 43943,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",SSMS 1303
WINTER 2022 43984,43984,WINTER 2022 43984,0000100,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1233
WINTER 2022 43992,43992,WINTER 2022 43984,0000100,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",ELLSN2626
WINTER 2022 44008,44008,WINTER 2022 43984,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1236
WINTER 2022 44016,44016,WINTER 2022 43984,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",GIRV 1112
WINTER 2022 44024,44024,WINTER 2022 43984,1000000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",HSSB 1237
WINTER 2022 44032,44032,WINTER 2022 43984,1000000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",GIRV 2120
WINTER 2022 44040,44040,WINTER 2022 43984,0000100,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",GIRV 2119
WINTER 2022 44057,44057,WINTER 2022 43984,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 1206
WINTER 2022 44065,44065,WINTER 2022 43984,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 1119
WINTER 2022 44073,44073,WINTER 2022 43984,0100000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",SH 1609
WINTER 2022 44081,44081,WINTER 2022 43984,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 1115
WINTER 2022 44115,44115,WINTER 2022 44115,0100000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 1112
WINTER 2022 44123,44123,WINTER 2022 44115,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",GIRV 2127
WINTER 2022 44131,44131,WINTER 2022 44115,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 2123
WINTER 2022 44149,44149,WINTER 2022 44115,1000000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",GIRV 2119
WINTER 2022 65888,65888,WINTER 2022 44115,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",HSSB 1228
WINTER 2022 44164,44164,WINTER 2022 44164,1000000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 1237
WINTER 2022 44172,44172,WINTER 2022 44164,1000000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",387 1011
WINTER 2022 44180,44180,WINTER 2022 44164,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",PHELP1445
WINTER 2022 44198,44198,WINTER 2022 44164,0100000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",ARTS 1353
WINTER 2022 44206,44206,WINTER 2022 44164,1000000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",HSSB 1236
WINTER 2022 58065,58065,WINTER 2022 58065,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SSMS 1304
WINTER 2022 58073,58073,WINTER 2022 58065,0010000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",PHELP1513
WINTER 2022 58081,58081,WINTER 2022 58065,0001000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",PHELP1513
WINTER 2022 65896,65896,WINTER 2022 58065,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SSMS 1303
WINTER 2022 72884,72884,WINTER 2022 58065,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",SSMS 1304
WINTER 2022 44305,44305,WINTER 2022 44305,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",PHELP1513
WINTER 2022 44313,44313,WINTER 2022 44305,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",PSY-E1805
WINTER 2022 44321,44321,WINTER 2022 44305,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",PSY-E1805
WINTER 2022 44339,44339,WINTER 2022 44305,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",PHELP1525
WINTER 2022 44347,44347,WINTER 2022 44305,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",PHELP1525
WINTER 2022 44420,44420,WINTER 2022 44420,0010000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",PHELP1513
WINTER 2022 44438,44438,WINTER 2022 44420,0010000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",PHELP1513
WINTER 2022 44446,44446,WINTER 2022 44420,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",PHELP1526
WINTER 2022 44453,44453,WINTER 2022 44420,0010000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",PHELP1513
WINTER 2022 44479,44479,WINTER 2022 44479,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",PHELP1525
WINTER 2022 44487,44487,WINTER 2022 44479,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",PHELP1513
WINTER 2022 44495,44495,WINTER 2022 44479,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",PHELP1525
WINTER 2022 44503,44503,WINTER 2022 44479,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",PHELP1526
WINTER 2022 44545,44545,WINTER 2022 44545,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",SSMS 1302
WINTER 2022 44552,44552,WINTER 2022 44545,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SSMS 1302
WINTER 2022 44560,44560,WINTER 2022 44545,0100000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",SSMS 1302
WINTER 2022 44578,44578,WINTER 2022 44545,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",SSMS 1303
WINTER 2022 58123,58123,WINTER 2022 58123,0001000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SSMS 1301&
WINTER 2022 58131,58131,WINTER 2022 58123,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",SSMS 1301&
WINTER 2022 65847,65847,WINTER 2022 58123,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",SSMS 1301&
WINTER 2022 44701,44701,WINTER 2022 44701,0100000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 1115
WINTER 2022 44719,44719,WINTER 2022 44701,1000000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",GIRV 1119
WINTER 2022 44727,44727,WINTER 2022 44701,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 2124
WINTER 2022 65904,65904,WINTER 2022 44701,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 1224
WINTER 2022 44750,44750,WINTER 2022 44750,1000000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",GIRV 2108
WINTER 2022 44768,44768,WINTER 2022 44750,1000000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 1233
WINTER 2022 44776,44776,WINTER 2022 44750,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 2120
WINTER 2022 65912,65912,WINTER 2022 44750,0001000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1224
WINTER 2022 44826,44826,WINTER 2022 44826,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 1115
WINTER 2022 44834,44834,WINTER 2022 44826,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",SH 1430
WINTER 2022 44842,44842,WINTER 2022 44826,0001000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",GIRV 1119
WINTER 2022 58289,58289,WINTER 2022 44826,1000000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",HSSB 1233
WINTER 2022 44891,44891,WINTER 2022 44891,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 2127
WINTER 2022 44909,44909,WINTER 2022 44891,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 1112
WINTER 2022 44917,44917,WINTER 2022 44891,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",NH 1109
WINTER 2022 44982,44982,WINTER 2022 44982,1000000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",GIRV 1119
WINTER 2022 44990,44990,WINTER 2022 44982,1000000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",HSSB 2251
WINTER 2022 45005,45005,WINTER 2022 44982,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",PHELP3505
WINTER 2022 45013,45013,WINTER 2022 44982,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",GIRV 1115
WINTER 2022 45039,45039,WINTER 2022 45039,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 2120
WINTER 2022 45047,45047,WINTER 2022 45039,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",GIRV 2120
WINTER 2022 45054,45054,WINTER 2022 45039,1000000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1227
WINTER 2022 45070,45070,WINTER 2022 45070,1000000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",SSMS 1302
WINTER 2022 45088,45088,WINTER 2022 45070,1000000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",SSMS 1302
WINTER 2022 45096,45096,WINTER 2022 45070,1000000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",SSMS 1302
WINTER 2022 45104,45104,WINTER 2022 45070,1000000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",SSMS 1302
WINTER 2022 45161,45161,WINTER 2022 45161,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",GIRV 2108
WINTER 2022 45179,45179,WINTER 2022 45161,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",GIRV 1119
WINTER 2022 49668,49668,WINTER 2022 49668,1000000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 2119
WINTER 2022 49676,49676,WINTER 2022 49668,1000000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 2123
WINTER 2022 49684,49684,WINTER 2022 49668,0001000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 1349
WINTER 2022 49692,49692,WINTER 2022 49668,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",387 1015
WINTER 2022 56200,56200,WINTER 2022 56200,0001000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 1105
WINTER 2022 56218,56218,WINTER 2022 56200,0001000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1105
WINTER 2022 58495,58495,WINTER 2022 58495,0001000,"(""1900-01-01 10:00:00"",""1900-01-01 11:50:00"")",SH 2635
WINTER 2022 61549,61549,WINTER 2022 58495,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 14:50:00"")",SH 2635
WINTER 2022 61556,61556,WINTER 2022 58495,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",SH 2635
WINTER 2022 61564,61564,WINTER 2022 58495,0000100,"(""1900-01-01 12:00:00"",""1900-01-01 13:50:00"")",SH 2635
SPRING 2022 00026,00026,SPRING 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1223
SPRING 2022 00034,00034,SPRING 2022 00026,0010000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",GIRV 1119
SPRING 2022 00059,00059,SPRING 2022 00026,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",GIRV 2116
SPRING 2022 00067,00067,SPRING 2022 00026,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1224
SPRING 2022 00075,00075,SPRING 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1215
SPRING 2022 00083,00083,SPRING 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1223
SPRING 2022 00091,00091,SPRING 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",LSB 1101
SPRING 2022 00109,00109,SPRING 2022 00026,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 1115
SPRING 2022 00117,00117,SPRING 2022 00026,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ARTS 1356
SPRING 2022 00125,00125,SPRING 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1224
SPRING 2022 00133,00133,SPRING 2022 00026,1000000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 1119
SPRING 2022 00141,00141,SPRING 2022 00026,0010000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",NH 1109
SPRING 2022 00158,00158,SPRING 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1228
SPRING 2022 00174,00174,SPRING 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1231
SPRING 2022 00182,00182,SPRING 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1231
SPRING 2022 00208,00208,SPRING 2022 00026,1000000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",GIRV 1119
SPRING 2022 00216,00216,SPRING 2022 00026,1000000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",GIRV 2112
SPRING 2022 00232,00232,SPRING 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1237
SPRING 2022 61069,61069,SPRING 2022 00026,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",PHELP3505
SPRING 2022 62810,62810,SPRING 2022 00026,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1231
SPRING 2022 62828,62828,SPRING 2022 00026,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1228
SPRING 2022 62836,62836,SPRING 2022 00026,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ELLSN2626
SPRING 2022 62869,62869,SPRING 2022 00026,1000000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 1236
SPRING 2022 62877,62877,SPRING 2022 00026,1000000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1232
SPRING 2022 62885,62885,SPRING 2022 00026,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1228
SPRING 2022 00257,00257,SPRING 2022 00257,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",KERR 2166A
SPRING 2022 00265,00265,SPRING 2022 00257,1000000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1223
SPRING 2022 00273,00273,SPRING 2022 00257,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1233
SPRING 2022 00281,00281,SPRING 2022 00257,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1224
SPRING 2022 00299,00299,SPRING 2022 00257,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ARTS 1356
SPRING 2022 00307,00307,SPRING 2022 00257,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1227
SPRING 2022 00315,00315,SPRING 2022 00257,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1223
SPRING 2022 00323,00323,SPRING 2022 00257,0010000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",GIRV 1119
SPRING 2022 00331,00331,SPRING 2022 00257,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",PHELP2524
SPRING 2022 00349,00349,SPRING 2022 00257,0000100,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",GIRV 1112
SPRING 2022 00356,00356,SPRING 2022 00257,0000100,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1227
SPRING 2022 56895,56895,SPRING 2022 00257,0001000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",PHELP2524
SPRING 2022 56887,56887,SPRING 2022 00257,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1237
SPRING 2022 62653,62653,SPRING 2022 62653,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1228
SPRING 2022 62661,62661,SPRING 2022 62653,0000100,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",HSSB 1236
SPRING 2022 62679,62679,SPRING 2022 62653,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",GIRV 2119
SPRING 2022 00794,00794,SPRING 2022 00794,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 1344
SPRING 2022 00802,00802,SPRING 2022 00794,0100000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",HSSB 1211
SPRING 2022 00810,00810,SPRING 2022 00794,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 1344
SPRING 2022 00828,00828,SPRING 2022 00794,0100000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 1211
SPRING 2022 00851,00851,SPRING 2022 00851,0101000,"(""1900-01-01 12:00:00"",""1900-01-01 13:50:00"")",ARTS 1345
SPRING 2022 00869,00869,SPRING 2022 00851,0010100,"(""1900-01-01 11:00:00"",""1900-01-01 12:50:00"")",ARTS 1345
SPRING 2022 00877,00877,SPRING 2022 00851,0101000,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 1345
SPRING 2022 00885,00885,SPRING 2022 00851,0010100,"(""1900-01-01 13:00:00"",""1900-01-01 14:50:00"")",ARTS 1345
SPRING 2022 00893,00893,SPRING 2022 00851,0101000,"(""1900-01-01 14:00:00"",""1900-01-01 15:50:00"")",ARTS 1345
SPRING 2022 00901,00901,SPRING 2022 00851,0010100,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 1345
SPRING 2022 58560,58560,SPRING 2022 58560,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",ARTS 1332
SPRING 2022 59840,59840,SPRING 2022 58560,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",ARTS 1332
SPRING 2022 59857,59857,SPRING 2022 58560,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ARTS 2324
SPRING 2022 59865,59865,SPRING 2022 58560,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 2324
SPRING 2022 59873,59873,SPRING 2022 58560,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 2324
SPRING 2022 59881,59881,SPRING 2022 58560,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 2324
SPRING 2022 59899,59899,SPRING 2022 58560,0010000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",ARTS 2324
SPRING 2022 59907,59907,SPRING 2022 58560,0010000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ARTS 2324
SPRING 2022 59915,59915,SPRING 2022 58560,0001000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 2324
SPRING 2022 59923,59923,SPRING 2022 58560,0001000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 2324
SPRING 2022 58586,58586,SPRING 2022 58586,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ARTS 1332
SPRING 2022 59931,59931,SPRING 2022 58586,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 1332
SPRING 2022 59949,59949,SPRING 2022 58586,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 2324
SPRING 2022 59956,59956,SPRING 2022 58586,0100000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 2324
SPRING 2022 59964,59964,SPRING 2022 58586,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",ARTS 1332
SPRING 2022 59972,59972,SPRING 2022 58586,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ARTS 1332
SPRING 2022 59980,59980,SPRING 2022 59980,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ON LINE
SPRING 2022 59998,59998,SPRING 2022 59980,0100000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ON LINE
SPRING 2022 60004,60004,SPRING 2022 59980,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ON LINE
SPRING 2022 60012,60012,SPRING 2022 59980,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ON LINE
SPRING 2022 60020,60020,SPRING 2022 59980,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ON LINE
SPRING 2022 60038,60038,SPRING 2022 59980,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ON LINE
SPRING 2022 60046,60046,SPRING 2022 59980,0100000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ON LINE
SPRING 2022 60053,60053,SPRING 2022 59980,0100000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ON LINE
SPRING 2022 60061,60061,SPRING 2022 59980,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",ON LINE
SPRING 2022 60079,60079,SPRING 2022 59980,0100000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",ON LINE
SPRING 2022 60087,60087,SPRING 2022 59980,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ON LINE
SPRING 2022 60095,60095,SPRING 2022 59980,0100000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ON LINE
SPRING 2022 60103,60103,SPRING 2022 59980,0100000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",ON LINE
SPRING 2022 34678,34678,SPRING 2022 34678,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 11:50:00"")",ENGR22133
SPRING 2022 34686,34686,SPRING 2022 34678,0100000,"(""1900-01-01 14:00:00"",""1900-01-01 16:50:00"")",ENGR22133
SPRING 2022 34694,34694,SPRING 2022 34678,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 11:50:00"")",ENGR22133
SPRING 2022 34702,34702,SPRING 2022 34678,0001000,"(""1900-01-01 14:00:00"",""1900-01-01 16:50:00"")",ENGR22133
SPRING 2022 55426,55426,SPRING 2022 34678,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 11:50:00"")",ENGR22133
SPRING 2022 34728,34728,SPRING 2022 34728,1000000,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 0249
SPRING 2022 34736,34736,SPRING 2022 58818,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 0249
SPRING 2022 34751,34751,SPRING 2022 58875,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 0249
SPRING 2022 34769,34769,SPRING 2022 58891,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 12:50:00"")",ARTS 0249
SPRING 2022 34777,34777,SPRING 2022 58974,0001000,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 0249
SPRING 2022 34785,34785,SPRING 2022 58974,0001000,"(""1900-01-01 11:00:00"",""1900-01-01 12:50:00"")",ARTS 0249
SPRING 2022 52613,52613,SPRING 2022 58974,1000000,"(""1900-01-01 11:00:00"",""1900-01-01 12:50:00"")",ARTS 0249
SPRING 2022 34801,34801,SPRING 2022 58974,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ENGR22243
SPRING 2022 34827,34827,SPRING 2022 58974,0010000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",PHELP1508
SPRING 2022 02139,02139,SPRING 2022 02139,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 1231
SPRING 2022 02147,02147,SPRING 2022 02139,0001000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",HSSB 1214
