id,enrollment_code,class_id,days,time,location
WINTER 2022 00919,00919,WINTER 2022 00901,1010000,"(""1900-01-01 15:00:00"",""1900-01-01 16:50:00"")",ARTS 1345
WINTER 2022 00927,00927,WINTER 2022 00901,0101000,"(""1900-01-01 09:00:00"",""1900-01-01 10:50:00"")",ARTS 1345
WINTER 2022 00935,00935,WINTER 2022 00901,1000000,"(""1900-01-01 13:00:00"",""1900-01-01 14:50:00"")",HSSB 4202
WINTER 2022 59519,59519,WINTER 2022 59519,0100000,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",ON LINE
WINTER 2022 59527,59527,WINTER 2022 59519,0100000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",ON LINE
WINTER 2022 59535,59535,WINTER 2022 59519,0001000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ON LINE
WINTER 2022 59543,59543,WINTER 2022 59519,0001000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ON LINE
WINTER 2022 59394,59394,WINTER 2022 59394,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",ARTS 2324
WINTER 2022 59402,59402,WINTER 2022 59394,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",ARTS 2324
WINTER 2022 59410,59410,WINTER 2022 59394,0100000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 2324
WINTER 2022 59428,59428,WINTER 2022 59394,0100000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 2324
WINTER 2022 59618,59618,WINTER 2022 59618,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 2324
WINTER 2022 59626,59626,WINTER 2022 59618,0010000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",ARTS 2324
WINTER 2022 59634,59634,WINTER 2022 59618,0001000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ARTS 2324
WINTER 2022 59642,59642,WINTER 2022 59618,0001000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 2324
WINTER 2022 59444,59444,WINTER 2022 59444,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",ARTS 1332
WINTER 2022 59451,59451,WINTER 2022 59444,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",ARTS 1332
WINTER 2022 59469,59469,WINTER 2022 59444,0010000,"(""1900-01-01 08:00:00"",""1900-01-01 08:50:00"")",ARTS 1332
WINTER 2022 59477,59477,WINTER 2022 59444,0010000,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",ARTS 1332
WINTER 2022 59485,59485,WINTER 2022 59444,0010000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",ARTS 2324
WINTER 2022 59493,59493,WINTER 2022 59444,0010000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",ARTS 2324
WINTER 2022 59568,59568,WINTER 2022 59568,0010000,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",ARTS 1332
WINTER 2022 59576,59576,WINTER 2022 59568,0010000,"(""1900-01-01 11:00:00"",""1900-01-01 11:50:00"")",ARTS 1332
WINTER 2022 59584,59584,WINTER 2022 59568,0001000,"(""1900-01-01 12:00:00"",""1900-01-01 12:50:00"")",ON LINE
WINTER 2022 59592,59592,WINTER 2022 59568,0001000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",ARTS 1332
WINTER 2022 02089,02089,WINTER 2022 02089,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",SH 1609
WINTER 2022 02097,02097,WINTER 2022 02089,0001000,"(""1900-01-01 18:00:00"",""1900-01-01 18:50:00"")",HSSB 1233
WINTER 2022 02105,02105,WINTER 2022 02089,0001000,"(""1900-01-01 19:00:00"",""1900-01-01 19:50:00"")",HSSB 1211
WINTER 2022 02113,02113,WINTER 2022 02089,0000100,"(""1900-01-01 09:00:00"",""1900-01-01 09:50:00"")",HSSB 1228
WINTER 2022 02121,02121,WINTER 2022 02089,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",GIRV 2120
