class_id,instructor_id
05066,VGVhY2hlci0yMTg0OTg2
05074,VGVhY2hlci0yMTg0OTg2
05082,VGVhY2hlci0yMTg0OTg2
05090,VGVhY2hlci0yMTg0OTg2
05108,VGVhY2hlci0yMTg0OTg2
05116,VGVhY2hlci0yMTg0OTg2
05124,VGVhY2hlci0yMTg0OTg2
05132,VGVhY2hlci0yMTg0OTg2
05140,VGVhY2hlci0yMTg0OTg2
05157,VGVhY2hlci0yMTg0OTg2
05165,VGVhY2hlci0yMTg0OTg2
05173,VGVhY2hlci0yMTg0OTg2
05181,VGVhY2hlci0yMTg0OTg2
63164,VGVhY2hlci0yMTg0OTg2
63172,VGVhY2hlci0yNzA0OTkw
63172,VGVhY2hlci0yMTg0OTg2
63180,VGVhY2hlci0yMTg0OTg2
63198,VGVhY2hlci0yMTg0OTg2
63206,VGVhY2hlci0yMTg0OTg2
63214,VGVhY2hlci0yMTg0OTg2
05256,VGVhY2hlci0xODQ1Nzky
05413,VGVhY2hlci0zMzU0MjY=
05421,VGVhY2hlci0xODQ1Nzky
05439,VGVhY2hlci0xODQ1Nzky
05447,VGVhY2hlci0xODQ1Nzky
59337,VGVhY2hlci0xODQ1Nzky
59345,VGVhY2hlci0xODQ1Nzky
05454,VGVhY2hlci0zMzU0MjY=
06288,VGVhY2hlci0yNDQ0NjI=
05470,VGVhY2hlci0xNjMzNDA2
05488,VGVhY2hlci0yMTcwNDI4
59519,VGVhY2hlci0yNzQ4NjAz
05496,VGVhY2hlci0yNzQ4NjAz
05504,VGVhY2hlci0yMTcwNDI4
05546,VGVhY2hlci0zNDg0Njc=
05587,VGVhY2hlci04MjM5Mjc=
05637,VGVhY2hlci0xMjU1OTg=
05678,VGVhY2hlci0xMjk1MjIz
05694,VGVhY2hlci0yNDQ0NjI=
05819,VGVhY2hlci0yNjI4NjMy
05827,VGVhY2hlci02MzI5Nzc=
59451,VGVhY2hlci03MTE2MDI=
05835,VGVhY2hlci0xMzkzMzA1
05843,VGVhY2hlci01ODg3MjM=
05868,VGVhY2hlci0yMjQxMzI4
05900,VGVhY2hlci0yODM1OTkx
05918,VGVhY2hlci0xMjAzNzY1
05926,VGVhY2hlci0xMTE2MzE4
05934,VGVhY2hlci0xMzQ2NTQ5
59329,VGVhY2hlci03MTE2MDI=
05942,VGVhY2hlci0yNjMzNDk3
59360,VGVhY2hlci03MTE2MDI=
06296,VGVhY2hlci0yNDQ0NjI=
04242,VGVhY2hlci0yOTE3MjA2
51953,VGVhY2hlci0yNTQ4MTAx
52001,VGVhY2hlci04MDkxNDg=
52100,VGVhY2hlci0zNDcyMjU=
52076,VGVhY2hlci0zNDcyMjU=
67355,VGVhY2hlci0yOTE3MjA2
06304,VGVhY2hlci04MDI4MjI=
06338,VGVhY2hlci00Mzk2MjQ=
06346,VGVhY2hlci00Mzk2MjQ=
06437,VGVhY2hlci00Mzk2MjQ=
62950,VGVhY2hlci04MDI4MjI=
52423,VGVhY2hlci01MDk1MTQ=
06601,VGVhY2hlci0yMTM3NDAx
55087,VGVhY2hlci0xMzYzNQ==
63453,VGVhY2hlci0xMzYzNQ==
06866,VGVhY2hlci0xMzYzNQ==
09183,VGVhY2hlci0yNzU5NDI2
09316,VGVhY2hlci05NjIxODQ=
09357,VGVhY2hlci0yNzU5NDI2
09464,VGVhY2hlci0yMTk0MDY3
09548,VGVhY2hlci0yNjA0NDgw
56200,VGVhY2hlci0yMTk0MDY3
09589,VGVhY2hlci02MDA5MDg=
09597,VGVhY2hlci0yMzM3NQ==
09621,VGVhY2hlci05NTQyMDY=
56218,VGVhY2hlci0yOTQ1ODIy
56226,VGVhY2hlci0yOTU2MTk=
56226,VGVhY2hlci0yNzEzMTE4
09654,VGVhY2hlci02MDA5MDg=
09662,VGVhY2hlci0yMTYzNzQw
09670,VGVhY2hlci0xOTU0Mzgw
09688,VGVhY2hlci0yNjc2OTI3
71084,VGVhY2hlci0yNTkyNjUz
56234,VGVhY2hlci0yOTQ1ODIy
09712,VGVhY2hlci01MzY5NDQ=
09738,VGVhY2hlci01MjgxNzY=
56242,VGVhY2hlci0xMDc4Mzc=
09746,VGVhY2hlci0xOTU0Mzgw
09753,VGVhY2hlci0xOTU0Mzgw
56275,VGVhY2hlci0yNTkyNjUz
