id,acronym,first_name,last_name,department,difficulty,rating,take_again_percentage,tags,reviews_cnt,img_url
VGVhY2hlci0yNTA3NDM1,,Aerynn,Dighton,Classics,3,4.3,100,"{Lots of homework,Graded by few things,Accessible outside class,Get ready to read,Skip class? You won't pass.,Amazing lectures ,Caring,Lecture heavy}",4,
VGVhY2hlci0xMDgyMjg2,CASTILLO J L,Jorge Luis,Castillo,Literature,3,4.8,100,"{Caring,Get ready to read,Clear grading criteria,Tough grader,Participation matters,Would take again,Inspirational,Respected,Lecture heavy}",8,
VGVhY2hlci0yODMwNTcz,,Tug,Goddard,East Asian Languages & Cultures,3.6,1.3,100,"{Tough grader,Participation matters,Get ready to read,Lecture heavy,Graded by few things}",11,
VGVhY2hlci0yODUwOTgw,,Manaira,Athayde,International Studies,0,0,-1,"",0,
VGVhY2hlci0yODUyNzg5,GAYEN M R,Mikael,Gayen,French & Italian,3,5,100,"{Participation matters,Amazing lectures ,Hilarious}",2,
VGVhY2hlci0yODU0Njc1,,Nicholas,Schooler,Biology,0,0,-1,"",0,
VGVhY2hlci0yODU4Mzc4,,Katie,Blackwell,Education,0,0,-1,"",0,
VGVhY2hlci0yODY4NTk2,,Manaíra,Athayde,Spanish,2,5,100,"{Participation matters,Get ready to read,Clear grading criteria,Respected,Accessible outside class}",2,
VGVhY2hlci0xMTEyMDEx,,Andrew,Norris,Political Science,4.4,3.4,59,"{Get ready to read,Skip class? You won't pass.,Tough grader,Lecture heavy,Hilarious,Caring,Graded by few things,Amazing lectures ,Inspirational,Beware of pop quizzes,Accessible outside class,Participation matters,Would take again,Gives good feedback,Lots of homework,Respected,Clear grading criteria,Test heavy}",66,https://www.polsci.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/2014%20-%20Norris%20on%20Beach_0.jpg?itok=KqTUImRo
VGVhY2hlci0yODcyNjYx,,Matthew,Shackley,Education,0,0,-1,"",0,
VGVhY2hlci0yODc1ODgw,,Chun-Jan, Young,Linguistics,0,0,-1,"",0,
VGVhY2hlci0yODc3MjEx,,Allie,Appino-Tabone,Linguistics,2,2,-1,"{Get ready to read,Lots of homework,Test heavy}",1,
VGVhY2hlci0yMjcyNDMy,,Huy,Nguyen,Economics,3.6,4.7,100,"{Caring,Amazing lectures ,Skip class? You won't pass.,Hilarious,Respected,Test heavy,EXTRA CREDIT,Gives good feedback,Inspirational,Accessible outside class}",12,
VGVhY2hlci0yODc5Mzk3,,Arlene,Ortiz,Psychology,1.5,2.5,100,{Get ready to read},2,
VGVhY2hlci0yODc5NzA1,,Nicole,Strobel,Film,0,0,-1,"",0,
VGVhY2hlci0yODgwMzAy,,Annie,Wyman,Film,2,2,-1,"",1,
VGVhY2hlci0yNjQxNjY3,,Troy,Araiza-Kokinis,History,3.1,3.3,88,"{Get ready to read,Lecture heavy,Graded by few things,Participation matters,Clear grading criteria}",10,
VGVhY2hlci0yODgwMzIy,,Sooie-Hoe,Loke,Statistics,3,2.4,100,"{Test heavy,Tough grader,Get ready to read,Gives good feedback,Lecture heavy,Graded by few things,Accessible outside class}",3,
VGVhY2hlci0yODgwNTE2,,Renne,Rottner,Business,0,0,-1,"",0,
VGVhY2hlci0yMzgxNTUy,,Andy,Wyss,Geology,4.1,3.3,60,"{Test heavy,Tough grader,Amazing lectures ,Clear grading criteria,Gives good feedback,Hilarious,Caring,Lecture heavy,Graded by few things}",9,
VGVhY2hlci0yMzkxODkx,,Laura,Tanner,Feminist Studies,2.9,2,14,"{Get ready to read,Lots of homework,Clear grading criteria,Lecture heavy}",7,
VGVhY2hlci0yNTMyNzAy,,Mavel,Marina,Education,2.4,1.6,0,"{Participation matters,Skip class? You won't pass.,Tough grader,Lots of homework,Lecture heavy,Get ready to read,EXTRA CREDIT,Clear grading criteria,Beware of pop quizzes}",7,
VGVhY2hlci0yNDk4MTU5,,Matt,Giles,Communication,2.5,4,75,"{Participation matters,Gives good feedback,Inspirational,Get ready to read,Amazing lectures ,Respected}",4,
VGVhY2hlci0yODgyODY0,GREENE A R,Amanda ,Greene,Philosophy,4,5,100,"{Tough grader,Get ready to read,Amazing lectures }",1,
VGVhY2hlci0yODgzMTEx,OCAMPO C,Cithli,Ocampo,Theater,3,5,100,"{Lots of homework,Caring,Respected}",1,
VGVhY2hlci0yODgzMTMx,,Destiny,Hoerberg,Education,0,0,-1,"",0,
VGVhY2hlci0yNTczMjMw,,Paul,Mena,Writing,2.1,4.5,90,"{Gives good feedback,Caring,Accessible outside class,Participation matters,Clear grading criteria,Group projects,Graded by few things,Tough grader,Get ready to read,Skip class? You won't pass.,Amazing lectures }",11,
VGVhY2hlci0xMTgyNTQ=,,Andrew,Carter,Statistics,3,3.1,53,"{Lots of homework,Tough grader,Amazing lectures ,Clear grading criteria,Test heavy,Respected,Would take again,Lecture heavy,Accessible outside class,Skip class? You won't pass.,EXTRA CREDIT,Group projects,Inspirational}",67,https://www.pstat.ucsb.edu/sites/default/files/styles/people_node/public/people/photo/Andrew%20Carter.jpg?itok=RDnesfnZ
