Anthropology - ANTH
Art (Creative Studies) - ART CS
Art - ART
Art History - ARTHI
Asian American Studies - AS AM
Astronomy - ASTRO
Biological Engineering - BIOE
Biology (Creative Studies) - BIOL CS
Biology - BIOL
Biomolecular Science and Engineering - BMSE
Black Studies - BL ST
Chemical Engineering - CH E
Chemistry (Creative Studies) - CHEM CS
Chemistry and Biochemistry - CHEM
Chicano Studies - CH ST
Chinese - CHIN
Classics - CLASS
Communication - COMM
Comparative Literature - C LIT
Computer Science - CMPSC
Computing (Creative Studies) - CMPTG
Computing (Creative Studies) - CMPTGCS
"Counseling, Clinical, School Psychology - CNCSP"
Dance - DANCE
Earth Science - EARTH
East Asian Cultural Studies - EACS
"Ecology, Evolution & Marine Biology - EEMB"
Economics - ECON
Education - ED
Electrical Computer Engineering - ECE
Engineering Sciences - ENGR
English - ENGL
Environmental Studies - ENV S
Exercise & Sport Studies - ESS
Exercise Sport - ES
Feminist Studies - FEMST
Film and Media Studies - FAMST
French - FR
Geography - GEOG
German - GER
Global Studies - GLOBL
Greek - GREEK
Hebrew - HEB
History - HIST
Interdisciplinary (Creative Studies) - INT CS
Interdisciplinary - INT
Italian - ITAL
Japanese - JAPAN
Korean - KOR
Latin - LATIN
Latin American and Iberian Studies - LAIS
Linguistics - LING
Marine Science (Creative Studies) - MARIN
Materials - MATRL
Mathematics (Creative Studies) - MATH CS
Mathematics - MATH
Mechanical Engineering - ME
Media Arts and Technology - MAT
Medieval Studies - ME ST
Middle East Studies - MES
Military Science - MS
"Molecular, Cellular & Develop. Biology - MCDB"
Music (Creative Studies) - MUS CS
Music - MUS
Music Performance Laboratories - MUS A
Philosophy - PHIL
Physics (Creative Studies) - PHYS CS
Physics - PHYS
Political Science - POL S
Portuguese - PORT
Psychology - PSY
Religious Studies - RG ST
Renaissance Studies - RENST
Russian - RUSS
Slavic - SLAV
Sociology - SOC
Spanish - SPAN
Speech & Hearing Sciences - SHS
Statistics & Applied Probability - PSTAT
Technology Management - TMP
Theater - THTR
Writing & Literature (Creative Studies) - W&L
Writing & Literature (Creative Studies) - W&L CS
Writing - WRIT
