section_id,id,enrolled,capacity,message,timestamp
WINTER 2022 52142,90,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52159,91,18,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52167,92,25,23,Full,2023-12-29 23:57:14.518017
WINTER 2022 52175,93,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52183,94,22,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52191,95,21,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52209,96,19,23,"",2023-12-29 23:57:14.518017
WINTER 2022 52217,97,19,22,"",2023-12-29 23:57:14.518017
WINTER 2022 02477,98,9,10,"",2023-12-29 23:57:14.518017
WINTER 2022 02485,99,6,10,"",2023-12-29 23:57:14.518017
WINTER 2022 02493,100,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 02501,101,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 02519,102,9,10,"",2023-12-29 23:57:14.518017
WINTER 2022 02527,103,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 02600,104,19,30,"",2023-12-29 23:57:14.518017
WINTER 2022 02618,105,0,0,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 02626,106,0,0,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 02634,107,34,42,"",2023-12-29 23:57:14.518017
WINTER 2022 02642,108,37,42,"",2023-12-29 23:57:14.518017
WINTER 2022 02659,109,46,48,"",2023-12-29 23:57:14.518017
WINTER 2022 02667,110,33,42,"",2023-12-29 23:57:14.518017
WINTER 2022 02675,111,28,42,"",2023-12-29 23:57:14.518017
WINTER 2022 02766,112,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02774,113,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02782,114,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02790,115,16,20,"",2023-12-29 23:57:14.518017
WINTER 2022 02808,116,18,20,"",2023-12-29 23:57:14.518017
WINTER 2022 02816,117,20,20,Full,2023-12-29 23:57:14.518017
WINTER 2022 53488,118,18,20,"",2023-12-29 23:57:14.518017
WINTER 2022 53496,119,20,20,Full,2023-12-29 23:57:14.518017
WINTER 2022 53504,120,20,20,Full,2023-12-29 23:57:14.518017
WINTER 2022 02907,121,19,20,"",2023-12-29 23:57:14.518017
WINTER 2022 02915,122,18,20,"",2023-12-29 23:57:14.518017
WINTER 2022 02923,123,17,20,"",2023-12-29 23:57:14.518017
WINTER 2022 53512,124,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 53520,125,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 53538,126,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02949,127,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02956,128,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02964,129,0,20,Closed,2023-12-29 23:57:14.518017
WINTER 2022 02972,130,20,20,Full,2023-12-29 23:57:14.518017
WINTER 2022 02980,131,18,20,"",2023-12-29 23:57:14.518017
WINTER 2022 02998,132,19,20,"",2023-12-29 23:57:14.518017
WINTER 2022 59196,133,4,5,"",2023-12-29 23:57:14.518017
WINTER 2022 59204,134,5,5,Full,2023-12-29 23:57:14.518017
WINTER 2022 59212,135,5,5,Full,2023-12-29 23:57:14.518017
WINTER 2022 59220,136,5,5,Full,2023-12-29 23:57:14.518017
WINTER 2022 59238,137,5,5,Full,2023-12-29 23:57:14.518017
WINTER 2022 59246,138,5,5,Full,2023-12-29 23:57:14.518017
WINTER 2022 53678,139,17,20,"",2023-12-29 23:57:14.518017
WINTER 2022 53686,140,19,20,"",2023-12-29 23:57:14.518017
WINTER 2022 53694,141,17,20,"",2023-12-29 23:57:14.518017
WINTER 2022 61036,142,41,65,"",2023-12-29 23:57:14.518017
WINTER 2022 53843,143,24,35,"",2023-12-29 23:57:14.518017
WINTER 2022 04028,144,45,70,"",2023-12-29 23:57:14.518017
WINTER 2022 04119,145,45,70,"",2023-12-29 23:57:14.518017
WINTER 2022 05702,146,18,18,Full,2023-12-29 23:57:14.518017
WINTER 2022 05710,147,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05728,148,16,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05736,149,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05744,150,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05751,151,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05769,152,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05777,153,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05785,154,15,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05793,155,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05801,156,15,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05819,157,18,18,Full,2023-12-29 23:57:14.518017
WINTER 2022 05827,158,18,18,Full,2023-12-29 23:57:14.518017
WINTER 2022 05835,159,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05843,160,17,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05850,161,15,18,"",2023-12-29 23:57:14.518017
WINTER 2022 05868,162,0,18,Closed,2023-12-29 23:57:14.518017
WINTER 2022 05876,163,0,18,Closed,2023-12-29 23:57:14.518017
WINTER 2022 06155,164,11,17,"",2023-12-29 23:57:14.518017
WINTER 2022 06163,165,11,17,"",2023-12-29 23:57:14.518017
WINTER 2022 06171,166,0,12,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 63917,167,0,13,Cancelled,2023-12-29 23:57:14.518017
WINTER 2022 06205,168,16,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 06213,169,16,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 06221,170,16,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 06239,171,14,15,"",2023-12-29 23:57:14.518017
WINTER 2022 06254,172,16,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 06270,173,17,17,Full,2023-12-29 23:57:14.518017
WINTER 2022 06288,174,18,18,Full,2023-12-29 23:57:14.518017
WINTER 2022 06296,175,18,17,Full,2023-12-29 23:57:14.518017
WINTER 2022 06304,176,17,16,Full,2023-12-29 23:57:14.518017
WINTER 2022 06312,177,16,17,"",2023-12-29 23:57:14.518017
WINTER 2022 06353,178,12,12,Full,2023-12-29 23:57:14.518017
WINTER 2022 06361,179,11,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 06379,180,12,12,Full,2023-12-29 23:57:14.518017
WINTER 2022 06387,181,12,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 06395,182,11,12,"",2023-12-29 23:57:14.518017
WINTER 2022 06403,183,11,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 06411,184,12,12,Full,2023-12-29 23:57:14.518017
WINTER 2022 06429,185,12,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 06437,186,12,12,Full,2023-12-29 23:57:14.518017
WINTER 2022 06445,187,10,10,Full,2023-12-29 23:57:14.518017
WINTER 2022 06478,188,0,16,Closed,2023-12-29 23:57:14.518017
WINTER 2022 06486,189,10,16,"",2023-12-29 23:57:14.518017
WINTER 2022 06494,190,11,16,"",2023-12-29 23:57:14.518017
WINTER 2022 63685,191,30,60,"",2023-12-29 23:57:14.518017
WINTER 2022 06577,192,16,16,Full,2023-12-29 23:57:14.518017
